# scenarios/normal_day.csv
# A quiet 24 h at home: gentle diurnal swing in temperature/humidity, stable
# pressure, gas resistance drifting with normal daytime activity. No CO2
# column -- pair with a separate --scenario-co2 file, e.g. co2_spike_meeting.csv.
t_offset_s,temperature_c,humidity_rh,pressure_hpa,gas_res_ohm,status
0,20.5,52.0,1015.5,200000,ok
7200,20.0,54.0,1015.6,205000,ok
14400,19.6,55.0,1015.7,208000,ok
21600,19.4,56.0,1015.6,206000,ok
28800,20.5,53.0,1015.3,195000,ok
36000,22.0,48.0,1014.8,185000,ok
43200,23.2,44.0,1014.3,178000,ok
50400,24.0,41.0,1013.9,172000,ok
57600,23.6,43.0,1014.0,175000,ok
64800,22.8,46.0,1014.4,182000,ok
72000,22.0,49.0,1014.9,188000,ok
79200,21.2,51.0,1015.2,195000,ok
86400,20.5,52.0,1015.5,200000,ok
